health_state,utility,setting,funding
Past M.I. (<1 year),0.6098,United Kingdom,Pharm Or Device
CVD: severe (Rankin 4-5),0.5142,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.6,Canada,Foundation
Major depressive order: severe,0.52,Australia,Government
Major depressive order: moderate,0.71,Australia,Government
Lung cancer: progression-free / early stage,0.6532,Japan,Pharm Or Device
CVD: severe (Rankin 4-5),0.38,United Kingdom,Government
CVD: mild (Rankin 0-1),0.74,United Kingdom,Government
Major depressive order: severe,0.42,United States,Pharm Or Device
Major depressive order: moderate,0.67,United States,Pharm Or Device
Stable angina,0.91,China,Government
Past M.I. (>1 year),0.96,China,Government
Hepatitis C: chronic infection,0.82,United States,Government
Compensated cirrhosis,0.78,United States,Government
Decompensated cirrhosis,0.65,United States,Government
Prior liver transplant (<1 year),0.5,United States,Government
Prior liver transplant (>1 year),0.7,United States,Government
CVD: severe (Rankin 4-5),0.39,United States,Government
CVD: mild (Rankin 0-1),0.75,United States,Government
Lung cancer: progressive / late stage,0.573,United States,GovernmentFoundation
Lung cancer: progression-free / early stage,0.825,United States,GovernmentFoundation
Major depressive order: severe,0.6,United States,Government
Past M.I. (<1 year),0.779,Sweden,Pharm Or Device
Past M.I. (<1 year),0.821,Sweden,Pharm Or Device
Past M.I. (>1 year),0.821,Sweden,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.762,Germany,Government
Breast cancer: progression-free / early stage,0.6,France,Pharm Or Device
Breast cancer: progression-free / early stage,0.78,France,Pharm Or Device
Breast cancer: progressive / late stage,0.6,Canada,GovernmentFoundation
Breast cancer: progression-free / early stage,0.7,Canada,GovernmentFoundation
Compensated cirrhosis,0.8,Canada,GovernmentFoundation
Decompensated cirrhosis,0.6,Canada,GovernmentFoundation
Prior liver transplant (<1 year),0.69,Canada,GovernmentFoundation
Prior liver transplant (>1 year),0.8,Canada,GovernmentFoundation
Compensated cirrhosis,0.81,Canada,Foundation
Decompensated cirrhosis,0.49,Canada,Foundation
Hepatitis B: chronic infection,0.87,Canada,Foundation
Prior liver transplant (<1 year),0.72,Canada,Foundation
Colorectal cancer: progressive / late stage,0.69,United Kingdom,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.75,United Kingdom,Pharm Or Device
Decompensated cirrhosis,0.45,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.77,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.55,United Kingdom,Pharm Or Device
Prior liver transplant (<1 year),0.67,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.55,Italy,Pharm Or Device
Hepatitis C: chronic infection,0.74,Italy,Pharm Or Device
Decompensated cirrhosis,0.45,Italy,Pharm Or Device
Prior liver transplant (<1 year),0.45,Italy,Pharm Or Device
Prior liver transplant (>1 year),0.67,Italy,Pharm Or Device
Diabetes w/o complications,0.85,Norway,Pharm Or Device
Lung cancer: progressive / late stage,0.653,United States,Other
Decompensated cirrhosis,0.72,United States,Pharm Or DeviceHealth Care
Hepatitis C: chronic infection,0.98,United States,Pharm Or DeviceHealth Care
Compensated cirrhosis,0.79,United States,Pharm Or DeviceHealth Care
Compensated cirrhosis,0.62,United States,Government
Decompensated cirrhosis,0.48,United States,Government
Hepatitis C: chronic infection,0.89,United States,Government
CVD: mild (Rankin 0-1),0.75,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.75,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.65,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.65,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.39,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.39,United States,Pharm Or Device
Diabetes w/ vision loss,0.81,China,GovernmentFoundation
Diabetes w/o complications,0.94,China,GovernmentFoundation
Decompensated cirrhosis,0.45,Chile,Pharm Or Device
Decompensated cirrhosis,0.536,Chile,Pharm Or Device
Hepatitis C: chronic infection,0.77,Chile,Pharm Or Device
Compensated cirrhosis,0.55,Chile,Pharm Or Device
Compensated cirrhosis,0.682,Chile,Pharm Or Device
Prior liver transplant (<1 year),0.45,Chile,Pharm Or Device
Prior liver transplant (>1 year),0.67,Chile,Pharm Or Device
Prior liver transplant (<1 year),0.572,Chile,Pharm Or Device
Prior liver transplant (>1 year),0.904,Chile,Pharm Or Device
CVD: mild (Rankin 0-1),0.85,United States,GovernmentPro Memb Org
CVD: mild (Rankin 0-1),0.8,United States,GovernmentPro Memb Org
CVD: moderate (Rankin 2-3),0.7,United States,GovernmentPro Memb Org
CVD: moderate (Rankin 2-3),0.51,United States,GovernmentPro Memb Org
CVD: severe (Rankin 4-5),0.3,United States,GovernmentPro Memb Org
CVD: severe (Rankin 4-5),0.15,United States,GovernmentPro Memb Org
Hepatitis B: chronic infection,0.85,China,Pro Memb Org
Compensated cirrhosis,0.69,China,Pro Memb Org
Decompensated cirrhosis,0.35,China,Pro Memb Org
Breast cancer: progressive / late stage,0.685,China,Foundation
Breast cancer: progression-free / early stage,0.85,China,Foundation
Breast cancer: progression-free / early stage,0.779,China,Foundation
CVD: mild (Rankin 0-1),0.75,China,Government
CVD: severe (Rankin 4-5),0.39,China,Government
Major depressive order: severe,0.56,Netherlands,Foundation
CVD: mild (Rankin 0-1),0.87,Germany,None
CVD: moderate (Rankin 2-3),0.68,Germany,None
CVD: severe (Rankin 4-5),0.52,Germany,None
CVD: moderate (Rankin 2-3),0.75,Norway,None
CVD: severe (Rankin 4-5),0.44,Norway,None
Compensated cirrhosis,0.55,Australia,GovernmentFoundation
Decompensated cirrhosis,0.45,Australia,GovernmentFoundation
Prior liver transplant (<1 year),0.45,Australia,GovernmentFoundation
Prior liver transplant (>1 year),0.67,Australia,GovernmentFoundation
Hepatitis C: chronic infection,0.77,Australia,GovernmentFoundation
CVD: severe (Rankin 4-5),0.65,United Kingdom,FoundationPharm Or DevicePro Memb Org
Diabetes w/ vision loss,0.55,India,Foundation
Diabetes w/ vision loss,0.7,India,Foundation
Compensated cirrhosis,0.55,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.77,United Kingdom,Pharm Or Device
Decompensated cirrhosis,0.45,United Kingdom,Pharm Or Device
Prior liver transplant (<1 year),0.45,United Kingdom,Pharm Or Device
Prior liver transplant (>1 year),0.45,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.78,Belgium,Pharm Or DeviceOther
Hepatitis B: chronic infection,0.82,Belgium,Pharm Or DeviceOther
Decompensated cirrhosis,0.49,Belgium,Pharm Or DeviceOther
Prior liver transplant (<1 year),0.71,Belgium,Pharm Or DeviceOther
Prior liver transplant (>1 year),0.82,Belgium,Pharm Or DeviceOther
Lung cancer: progressive / late stage,0.47,China,Foundation
Compensated cirrhosis,0.74,Portugal,Pharm Or Device
Decompensated cirrhosis,0.66,Portugal,Pharm Or Device
Prior liver transplant (<1 year),0.69,Portugal,Pharm Or Device
Hepatitis C: chronic infection,0.76,Portugal,Pharm Or Device
Lung cancer: progressive / late stage,0.47,China,Government
Lung cancer: progression-free / early stage,0.65,China,Government
Major depressive order: moderate,0.58,Slovenia,Pharm Or Device
Major depressive order: severe,0.38,Slovenia,Pharm Or Device
Compensated cirrhosis,0.76,United States,Pharm Or Device
Hepatitis C: chronic infection,0.79,United States,Pharm Or Device
Decompensated cirrhosis,0.69,United States,Pharm Or Device
Prior liver transplant (<1 year),0.5,United States,Pharm Or Device
Prior liver transplant (>1 year),0.77,United States,Pharm Or Device
COPD: severe to very severe,0.751,United Kingdom,Pharm Or Device
COPD: severe to very severe,0.657,United Kingdom,Pharm Or Device
CVD: moderate (Rankin 2-3),0.71,United States,GovernmentHealth CarePro Memb Org
CVD: severe (Rankin 4-5),0.32,United States,GovernmentHealth CarePro Memb Org
Past M.I. (<1 year),0.786,Germany,Pharm Or Device
Past M.I. (<1 year),0.809,Germany,Pharm Or Device
Past M.I. (<1 year),0.867,Germany,Pharm Or Device
Past M.I. (>1 year),0.786,Germany,Pharm Or Device
Past M.I. (>1 year),0.809,Germany,Pharm Or Device
Past M.I. (>1 year),0.867,Germany,Pharm Or Device
Compensated cirrhosis,0.71,Germany,None
Decompensated cirrhosis,0.63,Germany,None
Decompensated cirrhosis,0.63,Germany,None
Hepatitis C: chronic infection,0.71,Germany,None
Lung cancer: progressive / late stage,0.47,China,Government
COPD: mild to moderate,0.82,United Kingdom,Pharm Or Device
COPD: mild to moderate,0.8,United Kingdom,Pharm Or Device
COPD: exacerbation,0.99,United Kingdom,Pharm Or Device
COPD: severe to very severe,0.77,United Kingdom,Pharm Or Device
COPD: exacerbation,0.958,United Kingdom,Pharm Or Device
COPD: severe to very severe,0.74,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.45,Spain,Pharm Or Device
Breast cancer: progression-free / early stage,0.65,Spain,Pharm Or Device
"Alzheimer's: severe, not independent",0.165,United States,Government
Compensated cirrhosis,0.9,United States,Pharm Or Device
Decompensated cirrhosis,0.8,United States,Pharm Or Device
Prior liver transplant (<1 year),0.84,United States,Pharm Or Device
Prior liver transplant (>1 year),0.84,United States,Pharm Or Device
Past M.I. (<1 year),0.82,United States,Pharm Or Device
Past M.I. (<1 year),0.795,Australia,Government
Breast cancer: progression-free / early stage,0.78,United Kingdom,Other
Breast cancer: progressive / late stage,0.6,United Kingdom,Other
Hepatitis C: chronic infection,0.82,Italy,Other
Compensated cirrhosis,0.78,Italy,Other
Decompensated cirrhosis,0.65,Italy,Other
Prior liver transplant (<1 year),0.5,Italy,Other
Prior liver transplant (>1 year),0.7,Italy,Other
Hepatitis B: chronic infection,0.72,Canada,Pharm Or Device
Compensated cirrhosis,0.7,Canada,Pharm Or Device
Hepatitis C: chronic infection,0.79,Canada,Pharm Or Device
Compensated cirrhosis,0.8,Canada,Pharm Or Device
Prior liver transplant (<1 year),0.73,Canada,Pharm Or Device
Prior liver transplant (>1 year),0.73,Canada,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.48,Greece,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.27,Greece,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.74,Australia,Government
Colorectal cancer: progression-free / early stage,0.74,Australia,Government
Colorectal cancer: progressive / late stage,0.63,Australia,Government
Colorectal cancer: progressive / late stage,0.255,Australia,Government
Breast cancer: progressive / late stage,0.7,United States,None
Breast cancer: progressive / late stage,0.38,Canada,Government
Breast cancer: progression-free / early stage,0.86,Canada,Government
Breast cancer: progressive / late stage,0.38,Canada,Government
Breast cancer: progression-free / early stage,0.675,Canada,Government
CVD: mild (Rankin 0-1),0.75,Canada,Government
CVD: severe (Rankin 4-5),0.39,Canada,Government
CVD: mild (Rankin 0-1),0.65,Portugal,Pharm Or Device
CVD: moderate (Rankin 2-3),0.46,Portugal,Pharm Or Device
Past M.I. (<1 year),0.7,Poland,Pharm Or Device
Past M.I. (>1 year),0.8,Poland,Pharm Or Device
Stable angina,0.8,Poland,Pharm Or Device
Stable angina,0.9,Poland,Pharm Or Device
CVD: mild (Rankin 0-1),0.65,Greece,Pharm Or Device
CVD: moderate (Rankin 2-3),0.46,Greece,Pharm Or Device
CVD: severe (Rankin 4-5),0.3,Greece,Pharm Or Device
Lung cancer: progression-free / early stage,0.823,United States,FoundationOther
Lung cancer: progression-free / early stage,0.772,United States,FoundationOther
Lung cancer: progressive / late stage,0.573,United States,FoundationOther
CVD: severe (Rankin 4-5),0.2,Netherlands,None
Breast cancer: progression-free / early stage,0.744,Canada,Government
Breast cancer: progressive / late stage,0.685,Canada,Government
Breast cancer: progressive / late stage,0.685,United Kingdom,Other
Breast cancer: progression-free / early stage,0.695,United Kingdom,Other
Breast cancer: progressive / late stage,0.76,Brazil,Government
Breast cancer: progressive / late stage,0.7,Brazil,Government
Breast cancer: progressive / late stage,0.68,Brazil,Government
Breast cancer: progression-free / early stage,0.739,Brazil,Government
Breast cancer: progression-free / early stage,0.762,Brazil,Government
CVD: severe (Rankin 4-5),0.189,Belgium,Pharm Or Device
CVD: mild (Rankin 0-1),0.641,Belgium,Pharm Or Device
Past M.I. (<1 year),0.667,Belgium,Pharm Or Device
CVD: severe (Rankin 4-5),0.487,Belgium,Pharm Or Device
CVD: mild (Rankin 0-1),0.727,Belgium,Pharm Or Device
Past M.I. (>1 year),0.703,Belgium,Pharm Or Device
Lung cancer: progression-free / early stage,0.7086,Israel,GovernmentOther
Lung cancer: progressive / late stage,0.3412,Israel,GovernmentOther
Lung cancer: progressive / late stage,0.0832,Israel,GovernmentOther
Compensated cirrhosis,0.9,United States,GovernmentPharm Or Device
Decompensated cirrhosis,0.8,United States,GovernmentPharm Or Device
Prior liver transplant (<1 year),0.84,United States,GovernmentPharm Or Device
Hepatitis C: chronic infection,0.93,United States,GovernmentPharm Or Device
Hepatitis C: chronic infection,0.93,United States,GovernmentPharm Or Device
Past M.I. (<1 year),0.76,United States,None
Past M.I. (>1 year),0.88,United States,None
Breast cancer: progressive / late stage,0.62,Canada,Pharm Or Device
Breast cancer: progression-free / early stage,0.86,Canada,Pharm Or Device
Major depressive order: moderate,0.55,Italy,Other
Major depressive order: severe,0.49,Italy,Other
Major depressive order: severe,0.267,Italy,Other
CVD: mild (Rankin 0-1),0.74,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.38,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.62,United Kingdom,Pharm Or Device
Breast cancer: progression-free / early stage,0.86,United Kingdom,Pharm Or Device
Breast cancer: progression-free / early stage,0.81,Colombia,None
Breast cancer: progressive / late stage,0.484,Colombia,None
CVD: mild (Rankin 0-1),0.9,United States,Government
CVD: mild (Rankin 0-1),0.8,United States,Government
CVD: moderate (Rankin 2-3),0.46,United States,Government
CVD: moderate (Rankin 2-3),0.34,United States,Government
CVD: severe (Rankin 4-5),0.3,United States,Government
CVD: severe (Rankin 4-5),0.01,United States,Government
Decompensated cirrhosis,0.45,United Kingdom,Other
Compensated cirrhosis,0.55,United Kingdom,Other
Prior liver transplant (<1 year),0.45,United Kingdom,Other
Hepatitis C: chronic infection,0.77,United Kingdom,Other
Hepatitis C: chronic infection,0.66,United Kingdom,Other
Prior liver transplant (>1 year),0.67,United Kingdom,Other
Lung cancer: progressive / late stage,0.51,United Kingdom,Pharm Or Device
Lung cancer: progression-free / early stage,0.7,United Kingdom,Pharm Or Device
Colorectal cancer: progressive / late stage,0.25,United States,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.89,Singapore,None
Colorectal cancer: progression-free / early stage,0.87,Singapore,None
Colorectal cancer: progression-free / early stage,0.67,Singapore,None
Colorectal cancer: progressive / late stage,0.75,Singapore,None
Colorectal cancer: progressive / late stage,0.55,Singapore,None
Colorectal cancer: progressive / late stage,0.66,Singapore,None
Colorectal cancer: progressive / late stage,0.25,Singapore,None
Colorectal cancer: progression-free / early stage,0.74,Singapore,None
Diabetes w/o complications,0.748,Australia,None
Diabetes w/o complications,0.723,Australia,None
Compensated cirrhosis,0.75,Japan,Other
Decompensated cirrhosis,0.66,Japan,Other
Diabetes w/o complications,0.8,Israel,Government
Colorectal cancer: progressive / late stage,0.25,Canada,Government
Breast cancer: progression-free / early stage,0.9,Hong Kong,Government
Breast cancer: progression-free / early stage,0.8,Hong Kong,Government
Breast cancer: progressive / late stage,0.7,Hong Kong,Government
Breast cancer: progressive / late stage,0.3,Hong Kong,Government
Hepatitis C: chronic infection,0.82,Italy,Other
Compensated cirrhosis,0.78,Italy,Other
Decompensated cirrhosis,0.65,Italy,Other
Prior liver transplant (<1 year),0.5,Italy,Other
Prior liver transplant (>1 year),0.7,Italy,Other
COPD: exacerbation,0.99,United Kingdom,Pharm Or Device
COPD: exacerbation,0.958,United Kingdom,Pharm Or Device
COPD: severe to very severe,0.751,United Kingdom,Pharm Or Device
COPD: severe to very severe,0.657,United Kingdom,Pharm Or Device
Diabetes w/ peripheral neuropathy,0.5,United States,None
CVD: severe (Rankin 4-5),0.534,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.842,United States,Pharm Or Device
Diabetes w/o complications,0.79,Canada,Government
CVD: severe (Rankin 4-5),0.39,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.76,United States,Pharm Or Device
Major depressive order: severe,0.29,United Kingdom,Pharm Or Device
Major depressive order: moderate,0.46,United Kingdom,Pharm Or Device
Past M.I. (<1 year),0.84,Greece,Pharm Or Device
Past M.I. (>1 year),0.9,Greece,Pharm Or Device
CVD: mild (Rankin 0-1),0.88,United Kingdom,Pharm Or Device
CVD: mild (Rankin 0-1),0.88,United Kingdom,Pharm Or Device
CVD: moderate (Rankin 2-3),0.74,United Kingdom,Pharm Or Device
CVD: moderate (Rankin 2-3),0.74,United Kingdom,Pharm Or Device
CVD: severe (Rankin 4-5),0.38,United Kingdom,Pharm Or Device
CVD: severe (Rankin 4-5),0.38,United Kingdom,Pharm Or Device
Diabetes w/ vision loss,0.811,Brazil,Pharm Or Device
Diabetes w/ amputation,0.605,Brazil,Pharm Or Device
Diabetes w/ dialysis,0.622,Brazil,Pharm Or Device
Diabetes w/ dialysis,0.61,Canada,Pharm Or Device
CVD: severe (Rankin 4-5),0.39,International,None
CVD: mild (Rankin 0-1),0.75,International,None
Diabetes w/o complications,0.7,United Kingdom,Government
CVD: severe (Rankin 4-5),0.38,United Kingdom,GovernmentHealth Care
Past M.I. (>1 year),0.718,United Kingdom,GovernmentHealth Care
Past M.I. (<1 year),0.683,United Kingdom,GovernmentHealth Care
CVD: mild (Rankin 0-1),0.74,United Kingdom,GovernmentHealth Care
Diabetes w/o complications,0.8,United Kingdom,GovernmentHealth Care
Hepatitis B: chronic infection,0.94,United States,Government
Compensated cirrhosis,0.82,United States,Government
Decompensated cirrhosis,0.54,United States,Government
Breast cancer: progression-free / early stage,0.42,United States,GovernmentHealth CareOther
Breast cancer: progression-free / early stage,0.48,United States,GovernmentHealth CareOther
Breast cancer: progression-free / early stage,0.68,United States,GovernmentHealth CareOther
Breast cancer: progression-free / early stage,0.68,United States,GovernmentHealth CareOther
Compensated cirrhosis,0.8,United States,Pharm Or Device
Prior liver transplant (>1 year),0.73,United States,Pharm Or Device
Prior liver transplant (<1 year),0.73,United States,Pharm Or Device
Hepatitis C: chronic infection,0.79,United States,Pharm Or Device
Hepatitis C: chronic infection,0.79,United States,Pharm Or Device
Diabetes w/o complications,0.92,China,None
Diabetes w/ amputation,0.64,China,None
Diabetes w/ vision loss,0.846,China,None
Diabetes w/ dialysis,0.657,China,None
Compensated cirrhosis,0.82,Australia,None
Decompensated cirrhosis,0.6,Australia,None
COPD: mild to moderate,0.81,Canada,None
COPD: mild to moderate,0.72,Canada,None
COPD: severe to very severe,0.67,Canada,None
COPD: mild to moderate,0.519,Canada,None
COPD: mild to moderate,0.447,Canada,None
COPD: severe to very severe,0.408,Canada,None
COPD: mild to moderate,0.72,Canada,None
COPD: mild to moderate,0.658,Canada,None
COPD: severe to very severe,0.475,Canada,None
"Alzheimer's: mild, independent living",0.68,Canada,Government
"Alzheimer's: severe, not independent",0.37,Canada,Government
Lung cancer: progression-free / early stage,0.67,United States,Government
Lung cancer: progressive / late stage,0.473,United States,Government
Colorectal cancer: progression-free / early stage,0.74,United States,Pharm Or Device
Colorectal cancer: progressive / late stage,0.5,United States,Pharm Or Device
Colorectal cancer: progressive / late stage,0.25,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.39,United States,GovernmentFoundationHealth Care
CVD: mild (Rankin 0-1),0.75,United States,GovernmentFoundationHealth Care
Unstable angina,0.929,United States,Pharm Or Device
Diabetes w/o complications,0.88,United States,None
Diabetes w/ dialysis,0.61,United States,None
Unstable angina,0.88,United States,None
Lung cancer: progressive / late stage,0.461,United States,Government
CVD: mild (Rankin 0-1),0.85,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.27,United States,Pharm Or Device
Past M.I. (<1 year),0.72,United Kingdom,Pharm Or Device
Past M.I. (>1 year),0.68,United Kingdom,Pharm Or Device
Lung cancer: progressive / late stage,0.473,France,Pharm Or Device
Lung cancer: progression-free / early stage,0.626,France,Pharm Or Device
CVD: severe (Rankin 4-5),0.5,Netherlands,Government
CVD: mild (Rankin 0-1),0.75,Netherlands,Government
Diabetes w/ amputation,0.72,Switzerland,Pharm Or Device
Diabetes w/ vision loss,0.926,Switzerland,Pharm Or Device
Diabetes w/ dialysis,0.695,Switzerland,Pharm Or Device
CVD: mild (Rankin 0-1),0.8,United States,Government
CVD: mild (Rankin 0-1),0.8,United States,Government
CVD: moderate (Rankin 2-3),0.65,United States,Government
CVD: moderate (Rankin 2-3),0.5,United States,Government
CVD: severe (Rankin 4-5),0.35,United States,Government
CVD: severe (Rankin 4-5),0.2,United States,Government
Breast cancer: progression-free / early stage,0.694,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.22,United Kingdom,Pharm Or Device
Past M.I. (<1 year),0.87,United States,Government
Past M.I. (>1 year),0.91,United States,Government
Breast cancer: progression-free / early stage,0.74,United Kingdom,Pharm Or Device
Breast cancer: progressive / late stage,0.5,United Kingdom,Pharm Or Device
Lung cancer: progressive / late stage,0.473,France,Government
Lung cancer: progression-free / early stage,0.653,France,Government
Lung cancer: progression-free / early stage,0.67,France,Government
Lung cancer: progressive / late stage,0.4734,Japan,None
Past M.I. (<1 year),0.68,United States,Government
Colorectal cancer: progression-free / early stage,0.72,Switzerland,Foundation
Past M.I. (<1 year),0.76,Belgium,Pharm Or Device
Past M.I. (>1 year),0.76,Belgium,Pharm Or Device
Past M.I. (>1 year),0.475,Belgium,None
Past M.I. (<1 year),0.4,Belgium,None
Diabetes w/o complications,0.545,Belgium,None
CVD: severe (Rankin 4-5),0.455,United States,Government
Breast cancer: progressive / late stage,0.6,Japan,Pharm Or Device
COPD: mild to moderate,0.8971,United Kingdom,GovernmentHealth Care
COPD: mild to moderate,0.7511,United Kingdom,GovernmentHealth Care
COPD: severe to very severe,0.7481,United Kingdom,GovernmentHealth Care
COPD: severe to very severe,0.5493,United Kingdom,GovernmentHealth Care
COPD: mild to moderate,0.8951,United Kingdom,GovernmentHealth Care
COPD: mild to moderate,0.7364,United Kingdom,GovernmentHealth Care
COPD: severe to very severe,0.7261,United Kingdom,GovernmentHealth Care
COPD: severe to very severe,0.5357,United Kingdom,GovernmentHealth Care
Colorectal cancer: progressive / late stage,0.59,Taiwan,Pharm Or Device
Colorectal cancer: progression-free / early stage,0.86,Taiwan,Pharm Or Device
Lung cancer: progression-free / early stage,0.58,United States,None
CVD: mild (Rankin 0-1),0.76,Canada,GovernmentFoundation
Unstable angina,0.77,Canada,GovernmentFoundation
CVD: severe (Rankin 4-5),0.39,Canada,GovernmentFoundation
Lung cancer: progressive / late stage,0.47,China,Government
Lung cancer: progression-free / early stage,0.65,China,Government
Compensated cirrhosis,0.7,United States,GovernmentPharm Or Device
Past M.I. (<1 year),0.6943,United Kingdom,Other
Past M.I. (>1 year),0.7331,United Kingdom,Other
Hepatitis B: chronic infection,0.66,canada,Pharm Or Device
Compensated cirrhosis,0.65,canada,Pharm Or Device
Decompensated cirrhosis,0.44,canada,Pharm Or Device
Prior liver transplant (<1 year),0.58,canada,Pharm Or Device
Prior liver transplant (>1 year),0.64,canada,Pharm Or Device
Decompensated cirrhosis,0.56,United States,Pharm Or Device
Compensated cirrhosis,0.8,United States,Pharm Or Device
Hepatitis C: chronic infection,0.96,United States,Pharm Or Device
Prior liver transplant (>1 year),0.95,United States,Pharm Or Device
Prior liver transplant (<1 year),0.8,United States,Pharm Or Device
Hepatitis B: chronic infection,0.69,Hong Kong,Pharm Or Device
Compensated cirrhosis,0.71,Hong Kong,Pharm Or Device
Decompensated cirrhosis,0.27,Hong Kong,Pharm Or Device
COPD: mild to moderate,0.8971,Netherlands,Foundation
COPD: mild to moderate,0.7551,Netherlands,Foundation
COPD: severe to very severe,0.7481,Netherlands,Foundation
COPD: severe to very severe,0.5493,Netherlands,Foundation
Diabetes w/o complications,0.7,United Kingdom,Government
Breast cancer: progressive / late stage,0.19,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.642,Germany,Pharm Or Device
Breast cancer: progression-free / early stage,0.766,Germany,Pharm Or Device
Diabetes w/ dialysis,0.8,United States,Pharm Or Device
Diabetes w/ amputation,0.895,United States,Pharm Or Device
Diabetes w/ vision loss,0.84,United States,Pharm Or Device
Diabetes w/o complications,0.833,United States,Pharm Or Device
Diabetes w/o complications,0.965,United States,Pharm Or Device
Breast cancer: progressive / late stage,0.57,Canada,Pharm Or Device
Breast cancer: progression-free / early stage,0.816,Canada,Pharm Or Device
Compensated cirrhosis,0.31,Taiwan,Foundation
Decompensated cirrhosis,0.16,Taiwan,Foundation
Lung cancer: progressive / late stage,0.65,Spain,Pharm Or Device
Lung cancer: progressive / late stage,0.47,Spain,Pharm Or Device
Past M.I. (<1 year),0.683,United Kingdom,Government
Diabetes w/ vision loss,0.69,United States,Government
Diabetes w/ dialysis,0.61,United States,Government
Diabetes w/ amputation,0.8,United States,Government
Breast cancer: progressive / late stage,0.5,Switzerland,Government
Breast cancer: progression-free / early stage,0.7,Switzerland,Government
Unstable angina,0.77,United States,Pharm Or Device
Lung cancer: progressive / late stage,0.66,Australia,GovernmentHealth Care
Lung cancer: progression-free / early stage,0.73,Australia,GovernmentHealth Care
CVD: severe (Rankin 4-5),0.15,United States,GovernmentPharm Or Device
CVD: mild (Rankin 0-1),0.65,United States,GovernmentPharm Or Device
Diabetes w/o complications,0.88,Japan,Pharm Or Device
Diabetes w/ dialysis,0.61,Japan,Pharm Or Device
Breast cancer: progressive / late stage,0.64,United States,Pharm Or Device
Breast cancer: progression-free / early stage,0.76,United States,Pharm Or Device
Hepatitis B: chronic infection,0.52,China,Government
Compensated cirrhosis,0.57,China,Government
Decompensated cirrhosis,0.26,China,Government
CVD: severe (Rankin 4-5),0.22,United States,GovernmentPharm Or Device
CVD: moderate (Rankin 2-3),0.71,United States,GovernmentPharm Or Device
CVD: mild (Rankin 0-1),0.95,United States,GovernmentPharm Or Device
Past M.I. (>1 year),0.736,Japan,Pharm Or Device
Past M.I. (<1 year),0.685,Japan,Pharm Or Device
Hepatitis B: chronic infection,0.91,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.74,United Kingdom,Pharm Or Device
Hepatitis C: chronic infection,0.75,United Kingdom,Pharm Or Device
Compensated cirrhosis,0.64,United Kingdom,Pharm Or Device
COPD: mild to moderate,0.755,United States,Pharm Or Device
COPD: severe to very severe,0.748,United States,Pharm Or Device
COPD: severe to very severe,0.549,United States,Pharm Or Device
Hepatitis C: chronic infection,0.77,France,Government
CVD: severe (Rankin 4-5),0.32,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.9,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.79,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.68,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.65,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.4,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.8,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.8,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.65,United States,Pharm Or Device
CVD: moderate (Rankin 2-3),0.5,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.35,United States,Pharm Or Device
CVD: severe (Rankin 4-5),0.2,United States,Pharm Or Device
CVD: mild (Rankin 0-1),0.75,United States,GovernmentPharm Or Device
CVD: severe (Rankin 4-5),0.39,United States,GovernmentPharm Or Device
Stable angina,0.81,United States,None
Unstable angina,0.77,United States,None
Compensated cirrhosis,0.71,United States,Government
Decompensated cirrhosis,0.56,United States,Government
Major depressive order: severe,0.4,Romania,Government
Colorectal cancer: progressive / late stage,0.715,Canada,None
Past M.I. (>1 year),0.88,United Kingdom,Government
Past M.I. (<1 year),0.37,United Kingdom,Government
